"Location","Species","Pres","Freq","Freq1","SDFrq1","Rank","Rank1"
"A13","a",0,0.2768,0.4411,0.3551,22,1.341
"A13","f",0,0.2282,0.3718,0.3511,23,1.402
"A13","g",0,0.1513,0.255,0.3236,24,1.463
"A13","l",0,0.1031,0.1774,0.2871,25,1.524
"A13","c",0,0.0072,0.0129,0.0868,26,1.585
"A14","m",1,0.9993,0.9763,0.0602,1,0.081
"A14","r",1,0.9993,0.9763,0.0602,2,0.162
"A14","x",1,0.9956,0.9389,0.0997,3,0.244
"A14","o",1,0.9954,0.9379,0.1005,4,0.325
"A14","y",1,0.9954,0.9379,0.1005,5,0.406
"A14","z",1,0.995,0.9349,0.1032,6,0.487
"A14","s",1,0.9947,0.9331,0.1047,7,0.568
"A14","u",1,0.9904,0.9088,0.1246,8,0.65
"A14","w",1,0.8433,0.6157,0.3004,9,0.731
"A14","t",1,0.843,0.6154,0.3006,10,0.812
"A14","n",1,0.8336,0.6037,0.3066,11,0.893
"A14","b",1,0.6208,0.3937,0.2606,12,0.974
"A14","v",0,0.5556,0.342,0.2405,13,1.055
"A14","q",0,0.555,0.3415,0.2403,14,1.137
"A14","j",0,0.5491,0.3371,0.2387,15,1.218
"A14","p",0,0.5458,0.3346,0.2377,16,1.299
"A14","f",0,0.5212,0.3162,0.2309,17,1.38
"A14","g",0,0.3936,0.2275,0.1966,18,1.461
"A14","i",0,0.3747,0.2151,0.1914,19,1.543
"A14","c",0,0.3678,0.2107,0.1895,20,1.624
"A14","h",0,0.1582,0.085,0.1225,21,1.705
"A14","d",0,0.1574,0.0846,0.1222,22,1.786
"A14","l",0,0.0311,0.0162,0.0541,23,1.867
"A14","k",0,0.0305,0.0159,0.0536,24,1.949
"A14","e",0,0.026,0.0135,0.0495,25,2.03
"A14","a",0,0.0012,6e-04,0.0108,26,2.111
"A15","v",1,1,1,5e-04,1,0.074
"A15","s",1,0.997,0.9986,0.0126,2,0.147
"A15","m",1,0.9664,0.9783,0.059,3,0.221
"A15","k",1,0.9638,0.9764,0.0622,4,0.294
"A15","z",1,0.9606,0.9741,0.0658,5,0.368
"A15","o",1,0.9577,0.9719,0.069,6,0.441
"A15","n",1,0.9538,0.969,0.0733,7,0.515
"A15","h",1,0.8726,0.9023,0.15,8,0.588
"A15","u",1,0.7112,0.754,0.2721,9,0.662
"A15","g",0,0.4171,0.4563,0.3355,10,0.735
"A15","p",0,0.3839,0.4211,0.3335,11,0.809
"A15","y",0,0.3808,0.4179,0.3333,12,0.882
"A15","r",0,0.3806,0.4177,0.3332,13,0.956
"A15","t",0,0.3779,0.4148,0.333,14,1.029
"A15","j",0,0.3778,0.4147,0.333,15,1.103
"A15","w",0,0.3741,0.4107,0.3326,16,1.176
"A15","c",0,0.3634,0.3995,0.3314,17,1.25
"A15","x",0,0.3474,0.3823,0.3293,18,1.323
"A15","q",0,0.3445,0.3793,0.3288,19,1.397
"A15","l",0,0.3002,0.3317,0.3201,20,1.47
"A15","e",0,0.3001,0.3315,0.3201,21,1.544
"A15","f",0,0.1268,0.1419,0.2397,22,1.617
"A15","d",0,0.0778,0.0873,0.1944,23,1.691
"A15","i",0,0.0541,0.0609,0.1648,24,1.764
"A15","b",0,0.0172,0.0194,0.0953,25,1.838
"A16","s",1,1,1,2e-04,1,0.057
"A16","y",1,1,1,2e-04,2,0.113
"A16","v",1,0.9962,0.9988,0.0074,3,0.17
"A16","q",1,0.86,0.9079,0.113,4,0.227
"A16","z",1,0.86,0.9079,0.113,5,0.284
"A16","j",1,0.8562,0.9049,0.1156,6,0.34
"A16","w",1,0.8517,0.9013,0.1186,7,0.397
"A16","r",1,0.7813,0.8419,0.1564,8,0.454
"A16","t",0,0.7072,0.7747,0.185,9,0.511
"A16","k",0,0.7034,0.7711,0.1863,10,0.567
"A16","p",1,0.6612,0.731,0.1992,11,0.624
"A16","l",0,0.6247,0.6955,0.2086,12,0.681
"A16","i",1,0.5882,0.6592,0.2166,13,0.738
"A16","x",0,0.5634,0.6341,0.2213,14,0.794
"A16","g",0,0.5633,0.6341,0.2213,15,0.851
"A16","h",1,0.4998,0.5685,0.23,16,0.908
"A16","u",0,0.4885,0.5567,0.2311,17,0.965
"A16","e",0,0.4885,0.5566,0.2311,18,1.021
"A16","o",0,0.4847,0.5526,0.2315,19,1.078
"A16","n",0,0.4765,0.544,0.2321,20,1.135
"A16","d",0,0.4762,0.5437,0.2322,21,1.192
"A16","f",0,0.4037,0.4659,0.2348,22,1.248
"A16","a",0,0.3561,0.4138,0.2331,23,1.305
"A16","b",0,0.3473,0.404,0.2325,24,1.362
"A16","m",0,0.2838,0.333,0.2247,25,1.418
"A16","c",0,0.2834,0.3325,0.2246,26,1.475
"A17","j",1,1,1,3e-04,1,0.062
"A17","s",1,1,1,3e-04,2,0.125
"A17","v",1,1,1,3e-04,3,0.187
"A17","y",1,0.9837,0.9909,0.0268,4,0.25
"A17","l",1,0.9714,0.9826,0.0396,5,0.312
"A17","u",1,0.7751,0.8178,0.1807,6,0.374
"A17","q",1,0.7657,0.8091,0.1847,7,0.437
"A17","k",1,0.7621,0.8057,0.1862,8,0.499
"A17","p",1,0.7565,0.8004,0.1885,9,0.561
"A17","t",0,0.6928,0.7399,0.2107,10,0.624
"A17","o",0,0.6765,0.7241,0.2154,11,0.686
"A17","x",0,0.6765,0.7241,0.2154,12,0.749
"A17","f",0,0.6326,0.6809,0.2266,13,0.811
"A17","n",1,0.5597,0.6078,0.2399,14,0.873
"A17","w",1,0.5597,0.6078,0.2399,15,0.936
"A17","r",0,0.4786,0.5244,0.2477,16,0.998
"A17","z",0,0.4548,0.4995,0.2486,17,1.06
"A17","i",0,0.4492,0.4937,0.2487,18,1.123
"A17","m",0,0.4399,0.4839,0.2488,19,1.185
"A17","d",1,0.3671,0.4066,0.2461,20,1.248
"A17","e",0,0.2463,0.2757,0.2257,21,1.31
"A17","c",0,0.2342,0.2625,0.2224,22,1.372
"A17","g",0,0.228,0.2557,0.2206,23,1.435
"A17","h",0,0.2206,0.2475,0.2183,24,1.497
"A17","b",0,0.215,0.2414,0.2165,25,1.559
"A17","a",0,0.0383,0.0436,0.1042,26,1.622
"A18","y",1,1,1,2e-04,1,0.063
"A18","p",1,0.9968,0.9992,0.0065,2,0.125
"A18","q",1,0.9968,0.9992,0.0065,3,0.188
"A18","n",1,0.9151,0.9528,0.0758,4,0.25
"A18","v",1,0.9151,0.9528,0.0758,5,0.313
"A18","s",1,0.9121,0.9506,0.0781,6,0.375
"A18","k",1,0.8185,0.879,0.1438,7,0.438
"A18","w",1,0.7317,0.8037,0.1869,8,0.5
"A18","u",0,0.6909,0.7661,0.2027,9,0.563
"A18","x",1,0.671,0.7474,0.2095,10,0.625
"A18","j",0,0.5975,0.6758,0.2305,11,0.688
"A18","r",0,0.5345,0.6119,0.2434,12,0.75
"A18","f",0,0.5344,0.6117,0.2434,13,0.813
"A18","t",1,0.493,0.5685,0.2493,14,0.875
"A18","z",1,0.4874,0.5627,0.2499,15,0.938
"A18","c",0,0.4551,0.5283,0.2529,16,1
"A18","g",0,0.4551,0.5283,0.2529,17,1.063
"A18","i",0,0.4497,0.5225,0.2532,18,1.125
"A18","d",0,0.4192,0.4896,0.2546,19,1.188
"A18","o",0,0.3619,0.4265,0.2538,20,1.251
"A18","l",0,0.3378,0.3996,0.2521,21,1.313
"A18","h",1,0.3062,0.3639,0.2486,22,1.376
"A18","m",0,0.2715,0.3243,0.2428,23,1.438
"A18","b",0,0.1898,0.2294,0.2198,24,1.501
"A18","e",0,0.0849,0.1039,0.1609,25,1.563
"A19","s",1,1,1,0.0015,1,0.078
"A19","f",1,0.9994,0.9989,0.011,2,0.156
"A19","u",1,0.9916,0.9883,0.0396,3,0.234
"A19","v",1,0.9406,0.9274,0.1157,4,0.312
"A19","o",1,0.9112,0.8944,0.1464,5,0.39
"A19","x",1,0.9112,0.8944,0.1464,6,0.469
"A19","y",1,0.9112,0.8944,0.1464,7,0.547
"A19","j",1,0.9111,0.8944,0.1464,8,0.625
"A19","t",1,0.8677,0.8472,0.1854,9,0.703
"A19","r",1,0.7049,0.6781,0.2941,10,0.781
"A19","l",1,0.6538,0.6266,0.3013,11,0.859
"A19","k",0,0.417,0.3942,0.2981,12,0.937
"A19","m",0,0.3767,0.3553,0.2914,13,1.015
"A19","g",0,0.3524,0.3321,0.2864,14,1.093
"A19","z",0,0.3312,0.3117,0.2814,15,1.171
"A19","h",0,0.3199,0.3009,0.2786,16,1.25
"A19","i",0,0.2878,0.2703,0.2694,17,1.328
"A19","w",0,0.2693,0.2528,0.2634,18,1.406
"A19","n",0,0.2253,0.2111,0.247,19,1.484
"A19","p",0,0.2062,0.193,0.2387,20,1.562
"A19","a",0,0.1986,0.1859,0.2352,21,1.64
"A19","q",0,0.1332,0.1243,0.1991,22,1.718
"A19","e",0,0.1085,0.1012,0.1819,23,1.796
"A19","b",0,0.1059,0.0988,0.1799,24,1.874
"A19","d",0,0.0159,0.0148,0.0726,25,1.952
"A19","c",0,0.012,0.0112,0.0632,26,2.031
"A2","v",1,1,1,0,1,0.059
"A2","t",1,0.9952,1,0,2,0.118
"A2","u",1,0.9932,1,0,3,0.176
"A2","g",1,0.9932,1,0,4,0.235
"A2","m",1,0.9928,1,0,5,0.294
"A2","d",1,0.8654,1,0.0013,6,0.353
"A2","y",0,0.1562,0.6904,1.3127,7,0.411
"A2","x",0,0.1553,0.688,1.314,8,0.47
"A2","z",0,0.1553,0.688,1.314,9,0.529
"A2","n",0,0.1551,0.6874,1.3143,10,0.588
"A2","w",0,0.1551,0.6874,1.3143,11,0.647
"A2","s",0,0.1525,0.6809,1.3177,12,0.705
"A2","j",0,0.1516,0.6784,1.3189,13,0.764
"A2","k",0,0.1514,0.678,1.3191,14,0.823
"A2","l",0,0.1514,0.678,1.3191,15,0.882
"A2","e",0,0.1505,0.6756,1.3202,16,0.94
"A2","p",0,0.1288,0.614,1.336,17,0.999
"A2","o",0,0.1114,0.5574,1.3312,18,1.058
"A2","h",0,0.1058,0.5376,1.3257,19,1.117
"A2","b",0,0.1018,0.5233,1.3205,20,1.176
"A2","r",0,0.0726,0.4054,1.2418,21,1.234
"A2","q",0,0.0678,0.3838,1.2205,22,1.293
"A2","i",0,0.0658,0.3749,1.2112,23,1.352
"A2","a",0,0.0601,0.348,1.1806,24,1.411
"A2","c",0,0.0454,0.2744,1.0789,25,1.469
"A2","f",0,0.0267,0.1704,0.8794,26,1.528
"A20","z",1,0.996,0.9957,0.0211,1,0.066
"A20","s",1,0.9834,0.9823,0.0469,2,0.132
"A20","t",1,0.9834,0.9822,0.047,3,0.198
"A20","o",1,0.9795,0.9781,0.0531,4,0.264
"A20","n",1,0.9568,0.9544,0.0827,5,0.33
"A20","y",1,0.9567,0.9544,0.0827,6,0.395
"A20","g",1,0.9479,0.9453,0.0926,7,0.461
"A20","k",1,0.9401,0.9372,0.101,8,0.527
"A20","r",1,0.8255,0.8203,0.1996,9,0.593
"A20","i",1,0.8215,0.8162,0.2026,10,0.659
"A20","v",0,0.5295,0.5235,0.2864,11,0.725
"A20","w",0,0.5255,0.5195,0.2865,12,0.791
"A20","x",0,0.5255,0.5195,0.2865,13,0.857
"A20","j",0,0.5129,0.507,0.2867,14,0.923
"A20","u",0,0.509,0.5031,0.2867,15,0.989
"A20","p",0,0.4774,0.4717,0.2861,16,1.055
"A20","m",0,0.4582,0.4526,0.2852,17,1.12
"A20","q",0,0.3699,0.365,0.2755,18,1.186
"A20","d",0,0.3698,0.3649,0.2755,19,1.252
"A20","f",0,0.3506,0.3458,0.2722,20,1.318
"A20","c",0,0.3345,0.3299,0.269,21,1.384
"A20","l",0,0.2144,0.2112,0.2333,22,1.45
"A20","h",0,0.2138,0.2106,0.2331,23,1.516
"A20","e",0,0.1751,0.1724,0.2158,24,1.582
"A20","b",0,0.1595,0.1571,0.2079,25,1.648
"A20","a",0,0.1434,0.1412,0.1989,26,1.714
"A21","s",1,1,1,4e-04,1,0.061
"A21","y",1,1,1,4e-04,2,0.123
"A21","r",1,0.9983,0.9992,0.007,3,0.184
"A21","m",1,0.9958,0.9978,0.012,4,0.246
"A21","l",1,0.8864,0.9116,0.114,5,0.307
"A21","x",1,0.8848,0.9103,0.1152,6,0.368
"A21","n",1,0.8737,0.9005,0.1235,7,0.43
"A21","t",0,0.6699,0.7095,0.2191,8,0.491
"A21","p",0,0.6682,0.7078,0.2196,9,0.553
"A21","q",0,0.6682,0.7078,0.2196,10,0.614
"A21","w",0,0.6682,0.7078,0.2196,11,0.675
"A21","z",0,0.6682,0.7078,0.2196,12,0.737
"A21","k",1,0.5909,0.631,0.2355,13,0.798
"A21","o",1,0.589,0.629,0.2359,14,0.86
"A21","b",1,0.5768,0.6168,0.2377,15,0.921
"A21","u",0,0.5647,0.6046,0.2394,16,0.982
"A21","e",0,0.5645,0.6044,0.2394,17,1.044
"A21","v",0,0.5565,0.5962,0.2405,18,1.105
"A21","i",0,0.4232,0.4587,0.2471,19,1.166
"A21","j",0,0.3623,0.3945,0.2433,20,1.228
"A21","f",0,0.317,0.3464,0.2375,21,1.289
"A21","d",0,0.3093,0.3381,0.2363,22,1.351
"A21","h",0,0.2957,0.3236,0.2338,23,1.412
"A21","g",0,0.2477,0.2721,0.223,24,1.473
"A21","c",0,0.1951,0.215,0.2063,25,1.535
"A21","a",0,0.0027,0.003,0.0276,26,1.596
"A22","x",1,1,1,1e-04,1,0.059
"A22","y",1,1,1,1e-04,2,0.117
"A22","z",1,1,1,1e-04,3,0.176
"A22","v",1,0.9952,0.9991,0.0079,4,0.234
"A22","o",1,0.7906,0.8701,0.1651,5,0.293
"A22","q",1,0.7771,0.859,0.1746,6,0.352
"A22","n",1,0.7289,0.8179,0.2019,7,0.41
"A22","r",1,0.7282,0.8173,0.2023,8,0.469
"A22","t",1,0.7225,0.8123,0.2052,9,0.527
"A22","l",1,0.7177,0.808,0.2075,10,0.586
"A22","i",1,0.6795,0.7734,0.2252,11,0.645
"A22","m",0,0.5887,0.6863,0.2587,12,0.703
"A22","s",0,0.5821,0.6797,0.2607,13,0.762
"A22","p",0,0.5773,0.6749,0.2621,14,0.82
"A22","j",0,0.5754,0.673,0.2627,15,0.879
"A22","u",0,0.5233,0.6197,0.2759,16,0.938
"A22","h",0,0.4843,0.5787,0.2833,17,0.996
"A22","a",1,0.4218,0.5108,0.2906,18,1.055
"A22","f",0,0.3724,0.4555,0.2921,19,1.113
"A22","b",0,0.3255,0.4018,0.2897,20,1.172
"A22","w",0,0.3161,0.3909,0.2888,21,1.231
"A22","k",0,0.3062,0.3794,0.2876,22,1.289
"A22","d",0,0.2726,0.3399,0.2821,23,1.348
"A22","c",0,0.263,0.3285,0.2801,24,1.406
"A22","g",0,0.2476,0.3101,0.2764,25,1.465
"A22","e",0,0.2132,0.2687,0.2661,26,1.524
"A23","o",1,1,1,0.001,1,0.066
"A23","r",1,1,1,0.001,2,0.132
"A23","x",1,1,1,0.001,3,0.199
"A23","y",1,1,1,0.001,4,0.265
"A23","m",1,0.9058,0.8945,0.1243,5,0.331
"A23","q",1,0.8229,0.8075,0.1874,6,0.397
"A23","u",1,0.8229,0.8075,0.1874,7,0.464
"A23","e",1,0.8194,0.8038,0.1899,8,0.53
"A23","v",1,0.8041,0.7881,0.1946,9,0.596
"A23","h",1,0.8025,0.7864,0.1951,10,0.662
"A23","g",1,0.8022,0.7861,0.1952,11,0.728
"A23","s",1,0.7331,0.7156,0.2125,12,0.795
"A23","k",0,0.6957,0.6777,0.2193,13,0.861
"A23","f",1,0.5749,0.5569,0.2313,14,0.927
"A23","z",1,0.5545,0.5367,0.232,15,0.993
"A23","i",0,0.4982,0.4812,0.2319,16,1.059
"A23","b",0,0.4259,0.4103,0.2277,17,1.126
"A23","l",0,0.4256,0.41,0.2277,18,1.192
"A23","w",0,0.3438,0.3303,0.2173,19,1.258
"A23","c",0,0.3267,0.3137,0.2142,20,1.324
"A23","n",0,0.2557,0.245,0.1983,21,1.391
"A23","j",0,0.252,0.2415,0.1973,22,1.457
"A23","t",0,0.2485,0.2381,0.1963,23,1.523
"A23","p",0,0.1955,0.187,0.1795,24,1.589
"A23","d",0,0.0789,0.0752,0.1212,25,1.655
"A24","y",1,1,0.9981,0.0156,1,0.066
"A24","s",1,0.9998,0.9908,0.0345,2,0.133
"A24","t",1,0.9993,0.9809,0.0502,3,0.199
"A24","n",1,0.9991,0.9783,0.0537,4,0.265
"A24","x",1,0.9991,0.9783,0.0537,5,0.332
"A24","u",1,0.9757,0.8674,0.1477,6,0.398
"A24","q",1,0.9715,0.8553,0.1557,7,0.464
"A24","l",1,0.9707,0.853,0.1572,8,0.53
"A24","j",1,0.9584,0.8223,0.1768,9,0.597
"A24","f",1,0.9345,0.7726,0.2067,10,0.663
"A24","z",1,0.9312,0.7663,0.2104,11,0.729
"A24","r",1,0.9302,0.7644,0.2115,12,0.796
"A24","m",1,0.6633,0.4464,0.2427,13,0.862
"A24","h",1,0.6519,0.4363,0.2397,14,0.928
"A24","v",0,0.6401,0.426,0.2367,15,0.995
"A24","k",0,0.6161,0.4055,0.2309,16,1.061
"A24","o",0,0.6161,0.4055,0.2309,17,1.127
"A24","w",0,0.6127,0.4027,0.2301,18,1.193
"A24","g",0,0.5886,0.3828,0.2245,19,1.26
"A24","c",0,0.5876,0.3819,0.2243,20,1.326
"A24","e",0,0.546,0.3488,0.215,21,1.392
"A24","p",1,0.4528,0.2793,0.1944,22,1.459
"A24","i",0,0.3197,0.1888,0.1628,23,1.525
"A24","b",0,0.3086,0.1816,0.1599,24,1.591
"A24","d",0,0.2904,0.17,0.1551,25,1.658
"A24","a",0,0.001,5e-04,0.0092,26,1.724
"A25","y",1,1,1,1e-04,1,0.062
"A25","t",1,0.9998,1,5e-04,2,0.123
"A25","n",1,0.9921,0.9989,0.0083,3,0.185
"A25","l",1,0.989,0.9982,0.0108,4,0.246
"A25","s",1,0.9365,0.9789,0.0485,5,0.308
"A25","x",1,0.8189,0.9086,0.1288,6,0.369
"A25","o",1,0.6952,0.8105,0.2006,7,0.431
"A25","r",0,0.6375,0.7585,0.2262,8,0.492
"A25","i",0,0.6375,0.7585,0.2262,9,0.554
"A25","u",1,0.6319,0.7532,0.2285,10,0.615
"A25","g",0,0.582,0.7051,0.2469,11,0.677
"A25","v",1,0.5218,0.6441,0.2649,12,0.739
"A25","z",1,0.5218,0.644,0.2649,13,0.8
"A25","w",1,0.4663,0.5849,0.2772,14,0.862
"A25","q",0,0.4641,0.5825,0.2775,15,0.923
"A25","j",1,0.4585,0.5764,0.2785,16,0.985
"A25","h",1,0.4553,0.5728,0.2791,17,1.046
"A25","k",0,0.4086,0.5207,0.2852,18,1.108
"A25","e",0,0.3976,0.5082,0.2861,19,1.169
"A25","a",0,0.3175,0.4143,0.2867,20,1.231
"A25","p",0,0.3079,0.4027,0.286,21,1.292
"A25","d",0,0.2692,0.3554,0.2811,22,1.354
"A25","m",0,0.2652,0.3505,0.2804,23,1.416
"A25","b",0,0.1853,0.2495,0.2576,24,1.477
"A25","f",0,0.1036,0.142,0.2101,25,1.539
"A25","c",0,0.0152,0.0212,0.0877,26,1.6
"A26","y",1,1,1,0.0014,1,0.072
