Location,Species,Pres,Freq__,Freq_1,SD_Frq1,Rank,Rank_1
SU60      ,S5        ,   0,  0.0004,  0.7399,********,   16,   1.081
SU60      ,S6        ,   0,  0.0004,  0.7399,********,   17,   1.149
SU60      ,S7        ,   0,  0.0004,  0.7399,********,   18,   1.217
SU60      ,S8        ,   0,  0.0004,  0.7399,********,   19,   1.284
SU60      ,S9        ,   0,  0.0004,  0.7399,********,   20,   1.352
SU90      ,S1        ,   0,  0.0004,  0.7399,********,    1,   0.068
SU90      ,S10       ,   0,  0.0004,  0.7399,********,    2,   0.135
SU90      ,S11       ,   0,  0.0004,  0.7399,********,    3,   0.203
SU90      ,S12       ,   0,  0.0004,  0.7399,********,    4,   0.270
SU90      ,S13       ,   0,  0.0004,  0.7399,********,    5,   0.338
SU90      ,S14       ,   0,  0.0004,  0.7399,********,    6,   0.406
SU90      ,S15       ,   0,  0.0004,  0.7399,********,    7,   0.473
SU90      ,S16       ,   0,  0.0004,  0.7399,********,    8,   0.541
SU90      ,S17       ,   0,  0.0004,  0.7399,********,    9,   0.608
SU90      ,S18       ,   0,  0.0004,  0.7399,********,   10,   0.676
SU90      ,S19       ,   0,  0.0004,  0.7399,********,   11,   0.743
SU90      ,S2        ,   0,  0.0004,  0.7399,********,   12,   0.811
SU90      ,S20       ,   0,  0.0004,  0.7399,********,   13,   0.879
SU90      ,S3        ,   0,  0.0004,  0.7399,********,   14,   0.946
SU90      ,S4        ,   0,  0.0004,  0.7399,********,   15,   1.014
SU90      ,S5        ,   0,  0.0004,  0.7399,********,   16,   1.081
SU90      ,S6        ,   0,  0.0004,  0.7399,********,   17,   1.149
SU90      ,S7        ,   0,  0.0004,  0.7399,********,   18,   1.217
SU90      ,S8        ,   0,  0.0004,  0.7399,********,   19,   1.284
SU90      ,S9        ,   0,  0.0004,  0.7399,********,   20,   1.352
SU91      ,S1        ,   0,  0.0025,  0.7401, 13.0085,    1,   0.068
SU91      ,S10       ,   0,  0.0025,  0.7401, 13.0085,    2,   0.135
SU91      ,S11       ,   0,  0.0025,  0.7401, 13.0085,    3,   0.203
SU91      ,S12       ,   0,  0.0025,  0.7401, 13.0085,    4,   0.270
SU91      ,S13       ,   0,  0.0025,  0.7401, 13.0085,    5,   0.338
SU91      ,S14       ,   0,  0.0025,  0.7401, 13.0085,    6,   0.405
SU91      ,S15       ,   0,  0.0025,  0.7401, 13.0085,    7,   0.473
SU91      ,S16       ,   0,  0.0025,  0.7401, 13.0085,    8,   0.540
SU91      ,S17       ,   0,  0.0025,  0.7401, 13.0085,    9,   0.608
SU91      ,S18       ,   0,  0.0025,  0.7401, 13.0085,   10,   0.675
SU91      ,S19       ,   0,  0.0025,  0.7401, 13.0085,   11,   0.743
SU91      ,S2        ,   0,  0.0025,  0.7401, 13.0085,   12,   0.811
SU91      ,S20       ,   0,  0.0025,  0.7401, 13.0085,   13,   0.878
SU91      ,S3        ,   0,  0.0025,  0.7401, 13.0085,   14,   0.946
SU91      ,S4        ,   0,  0.0025,  0.7401, 13.0085,   15,   1.013
SU91      ,S5        ,   0,  0.0025,  0.7401, 13.0085,   16,   1.081
SU91      ,S6        ,   0,  0.0025,  0.7401, 13.0085,   17,   1.148
SU91      ,S7        ,   0,  0.0025,  0.7401, 13.0085,   18,   1.216
SU91      ,S8        ,   0,  0.0025,  0.7401, 13.0085,   19,   1.283
SU91      ,S9        ,   0,  0.0025,  0.7401, 13.0085,   20,   1.351
SU92      ,S1        ,   0,  0.0018,  0.7401, 26.8794,    1,   0.068
SU92      ,S10       ,   0,  0.0018,  0.7401, 26.8794,    2,   0.135
SU92      ,S11       ,   0,  0.0018,  0.7401, 26.8794,    3,   0.203
SU92      ,S12       ,   0,  0.0018,  0.7401, 26.8794,    4,   0.270
SU92      ,S13       ,   0,  0.0018,  0.7401, 26.8794,    5,   0.338
SU92      ,S14       ,   0,  0.0018,  0.7401, 26.8794,    6,   0.405
SU92      ,S15       ,   0,  0.0018,  0.7401, 26.8794,    7,   0.473
SU92      ,S16       ,   0,  0.0018,  0.7401, 26.8794,    8,   0.540
SU92      ,S17       ,   0,  0.0018,  0.7401, 26.8794,    9,   0.608
SU92      ,S18       ,   0,  0.0018,  0.7401, 26.8794,   10,   0.675
SU92      ,S19       ,   0,  0.0018,  0.7401, 26.8794,   11,   0.743
SU92      ,S2        ,   0,  0.0018,  0.7401, 26.8794,   12,   0.811
SU92      ,S20       ,   0,  0.0018,  0.7401, 26.8794,   13,   0.878
SU92      ,S3        ,   0,  0.0018,  0.7401, 26.8794,   14,   0.946
SU92      ,S4        ,   0,  0.0018,  0.7401, 26.8794,   15,   1.013
SU92      ,S5        ,   0,  0.0018,  0.7401, 26.8794,   16,   1.081
SU92      ,S6        ,   0,  0.0018,  0.7401, 26.8794,   17,   1.148
SU92      ,S7        ,   0,  0.0018,  0.7401, 26.8794,   18,   1.216
SU92      ,S8        ,   0,  0.0018,  0.7401, 26.8794,   19,   1.283
SU92      ,S9        ,   0,  0.0018,  0.7401, 26.8794,   20,   1.351
SU93      ,S1        ,   0,  0.0005,  0.7399,********,    1,   0.068
SU93      ,S10       ,   0,  0.0005,  0.7399,********,    2,   0.135
SU93      ,S11       ,   0,  0.0005,  0.7399,********,    3,   0.203
SU93      ,S12       ,   0,  0.0005,  0.7399,********,    4,   0.270
SU93      ,S13       ,   0,  0.0005,  0.7399,********,    5,   0.338
SU93      ,S14       ,   0,  0.0005,  0.7399,********,    6,   0.406
SU93      ,S15       ,   0,  0.0005,  0.7399,********,    7,   0.473
SU93      ,S16       ,   0,  0.0005,  0.7399,********,    8,   0.541
SU93      ,S17       ,   0,  0.0005,  0.7399,********,    9,   0.608
SU93      ,S18       ,   0,  0.0005,  0.7399,********,   10,   0.676
SU93      ,S19       ,   0,  0.0005,  0.7399,********,   11,   0.743
SU93      ,S2        ,   0,  0.0005,  0.7399,********,   12,   0.811
SU93      ,S20       ,   0,  0.0005,  0.7399,********,   13,   0.879
SU93      ,S3        ,   0,  0.0005,  0.7399,********,   14,   0.946
SU93      ,S4        ,   0,  0.0005,  0.7399,********,   15,   1.014
SU93      ,S5        ,   0,  0.0005,  0.7399,********,   16,   1.081
SU93      ,S6        ,   0,  0.0005,  0.7399,********,   17,   1.149
SU93      ,S7        ,   0,  0.0005,  0.7399,********,   18,   1.217
SU93      ,S8        ,   0,  0.0005,  0.7399,********,   19,   1.284
SU93      ,S9        ,   0,  0.0005,  0.7399,********,   20,   1.352
SU99      ,S1        ,   0,  0.0005,  0.7399,********,    1,   0.068
SU99      ,S10       ,   0,  0.0005,  0.7399,********,    2,   0.135
SU99      ,S11       ,   0,  0.0005,  0.7399,********,    3,   0.203
SU99      ,S12       ,   0,  0.0005,  0.7399,********,    4,   0.270
SU99      ,S13       ,   0,  0.0005,  0.7399,********,    5,   0.338
SU99      ,S14       ,   0,  0.0005,  0.7399,********,    6,   0.406
SU99      ,S15       ,   0,  0.0005,  0.7399,********,    7,   0.473
SU99      ,S16       ,   0,  0.0005,  0.7399,********,    8,   0.541
SU99      ,S17       ,   0,  0.0005,  0.7399,********,    9,   0.608
SU99      ,S18       ,   0,  0.0005,  0.7399,********,   10,   0.676
SU99      ,S19       ,   0,  0.0005,  0.7399,********,   11,   0.743
SU99      ,S2        ,   0,  0.0005,  0.7399,********,   12,   0.811
SU99      ,S20       ,   0,  0.0005,  0.7399,********,   13,   0.879
SU99      ,S3        ,   0,  0.0005,  0.7399,********,   14,   0.946
SU99      ,S4        ,   0,  0.0005,  0.7399,********,   15,   1.014
SU99      ,S5        ,   0,  0.0005,  0.7399,********,   16,   1.081
SU99      ,S6        ,   0,  0.0005,  0.7399,********,   17,   1.149
SU99      ,S7        ,   0,  0.0005,  0.7399,********,   18,   1.217
SU99      ,S8        ,   0,  0.0005,  0.7399,********,   19,   1.284
SU99      ,S9        ,   0,  0.0005,  0.7399,********,   20,   1.352
SZ69      ,S1        ,   0,  0.0087,  0.7401,  1.6610,    1,   0.068
SZ69      ,S10       ,   0,  0.0087,  0.7401,  1.6610,    2,   0.135
SZ69      ,S11       ,   0,  0.0087,  0.7401,  1.6610,    3,   0.203
SZ69      ,S12       ,   0,  0.0087,  0.7401,  1.6610,    4,   0.270
SZ69      ,S13       ,   0,  0.0087,  0.7401,  1.6610,    5,   0.338
SZ69      ,S14       ,   0,  0.0087,  0.7401,  1.6610,    6,   0.405
SZ69      ,S15       ,   0,  0.0087,  0.7401,  1.6610,    7,   0.473
SZ69      ,S16       ,   0,  0.0087,  0.7401,  1.6610,    8,   0.540
SZ69      ,S17       ,   0,  0.0087,  0.7401,  1.6610,    9,   0.608
SZ69      ,S18       ,   0,  0.0087,  0.7401,  1.6610,   10,   0.675
SZ69      ,S19       ,   0,  0.0087,  0.7401,  1.6610,   11,   0.743
SZ69      ,S2        ,   0,  0.0087,  0.7401,  1.6610,   12,   0.811
SZ69      ,S20       ,   0,  0.0087,  0.7401,  1.6610,   13,   0.878
SZ69      ,S3        ,   0,  0.0087,  0.7401,  1.6610,   14,   0.946
SZ69      ,S4        ,   0,  0.0087,  0.7401,  1.6610,   15,   1.013
SZ69      ,S5        ,   0,  0.0087,  0.7401,  1.6610,   16,   1.081
SZ69      ,S6        ,   0,  0.0087,  0.7401,  1.6610,   17,   1.148
SZ69      ,S7        ,   0,  0.0087,  0.7401,  1.6610,   18,   1.216
SZ69      ,S8        ,   0,  0.0087,  0.7401,  1.6610,   19,   1.283
SZ69      ,S9        ,   0,  0.0087,  0.7401,  1.6610,   20,   1.351
SZ99      ,S1        ,   0,  0.1097,  0.7399,  0.2081,    1,   0.068
SZ99      ,S10       ,   0,  0.1097,  0.7399,  0.2081,    2,   0.135
SZ99      ,S11       ,   0,  0.1097,  0.7399,  0.2081,    3,   0.203
SZ99      ,S12       ,   0,  0.1097,  0.7399,  0.2081,    4,   0.270
SZ99      ,S13       ,   0,  0.1097,  0.7399,  0.2081,    5,   0.338
SZ99      ,S14       ,   0,  0.1097,  0.7399,  0.2081,    6,   0.406
SZ99      ,S15       ,   0,  0.1097,  0.7399,  0.2081,    7,   0.473
SZ99      ,S16       ,   0,  0.1097,  0.7399,  0.2081,    8,   0.541
SZ99      ,S17       ,   0,  0.1097,  0.7399,  0.2081,    9,   0.608
SZ99      ,S18       ,   0,  0.1097,  0.7399,  0.2081,   10,   0.676
SZ99      ,S19       ,   0,  0.1097,  0.7399,  0.2081,   11,   0.743
SZ99      ,S2        ,   0,  0.1097,  0.7399,  0.2081,   12,   0.811
SZ99      ,S20       ,   0,  0.1097,  0.7399,  0.2081,   13,   0.879
SZ99      ,S3        ,   0,  0.1097,  0.7399,  0.2081,   14,   0.946
SZ99      ,S4        ,   0,  0.1097,  0.7399,  0.2081,   15,   1.014
SZ99      ,S5        ,   0,  0.1097,  0.7399,  0.2081,   16,   1.081
SZ99      ,S6        ,   0,  0.1097,  0.7399,  0.2081,   17,   1.149
SZ99      ,S7        ,   0,  0.1097,  0.7399,  0.2081,   18,   1.217
SZ99      ,S8        ,   0,  0.1097,  0.7399,  0.2081,   19,   1.284
SZ99      ,S9        ,   0,  0.1097,  0.7399,  0.2081,   20,   1.352
TG40      ,S1        ,   0,  0.0001,  0.7399,********,    1,   0.068
TG40      ,S10       ,   0,  0.0001,  0.7399,********,    2,   0.135
TG40      ,S11       ,   0,  0.0001,  0.7399,********,    3,   0.203
TG40      ,S12       ,   0,  0.0001,  0.7399,********,    4,   0.270
TG40      ,S13       ,   0,  0.0001,  0.7399,********,    5,   0.338
TG40      ,S14       ,   0,  0.0001,  0.7399,********,    6,   0.405
TG40      ,S15       ,   0,  0.0001,  0.7399,********,    7,   0.473
TG40      ,S16       ,   0,  0.0001,  0.7399,********,    8,   0.541
TG40      ,S17       ,   0,  0.0001,  0.7399,********,    9,   0.608
TG40      ,S18       ,   0,  0.0001,  0.7399,********,   10,   0.676
TG40      ,S19       ,   0,  0.0001,  0.7399,********,   11,   0.743
TG40      ,S2        ,   0,  0.0001,  0.7399,********,   12,   0.811
TG40      ,S20       ,   0,  0.0001,  0.7399,********,   13,   0.879
TG40      ,S3        ,   0,  0.0001,  0.7399,********,   14,   0.946
TG40      ,S4        ,   0,  0.0001,  0.7399,********,   15,   1.014
TG40      ,S5        ,   0,  0.0001,  0.7399,********,   16,   1.081
TG40      ,S6        ,   0,  0.0001,  0.7399,********,   17,   1.149
TG40      ,S7        ,   0,  0.0001,  0.7399,********,   18,   1.216
TG40      ,S8        ,   0,  0.0001,  0.7399,********,   19,   1.284
TG40      ,S9        ,   0,  0.0001,  0.7399,********,   20,   1.352
TG50      ,S1        ,   0,  0.0003,  0.7399,********,    1,   0.068
TG50      ,S10       ,   0,  0.0003,  0.7399,********,    2,   0.135
TG50      ,S11       ,   0,  0.0003,  0.7399,********,    3,   0.203
TG50      ,S12       ,   0,  0.0003,  0.7399,********,    4,   0.270
TG50      ,S13       ,   0,  0.0003,  0.7399,********,    5,   0.338
TG50      ,S14       ,   0,  0.0003,  0.7399,********,    6,   0.405
TG50      ,S15       ,   0,  0.0003,  0.7399,********,    7,   0.473
TG50      ,S16       ,   0,  0.0003,  0.7399,********,    8,   0.541
TG50      ,S17       ,   0,  0.0003,  0.7399,********,    9,   0.608
TG50      ,S18       ,   0,  0.0003,  0.7399,********,   10,   0.676
TG50      ,S19       ,   0,  0.0003,  0.7399,********,   11,   0.743
TG50      ,S2        ,   0,  0.0003,  0.7399,********,   12,   0.811
TG50      ,S20       ,   0,  0.0003,  0.7399,********,   13,   0.879
TG50      ,S3        ,   0,  0.0003,  0.7399,********,   14,   0.946
TG50      ,S4        ,   0,  0.0003,  0.7399,********,   15,   1.014
TG50      ,S5        ,   0,  0.0003,  0.7399,********,   16,   1.081
TG50      ,S6        ,   0,  0.0003,  0.7399,********,   17,   1.149
TG50      ,S7        ,   0,  0.0003,  0.7399,********,   18,   1.216
TG50      ,S8        ,   0,  0.0003,  0.7399,********,   19,   1.284
TG50      ,S9        ,   0,  0.0003,  0.7399,********,   20,   1.352
TG51      ,S1        ,   0,  0.0001,  0.7401,********,    1,   0.068
TG51      ,S10       ,   0,  0.0001,  0.7401,********,    2,   0.135
TG51      ,S11       ,   0,  0.0001,  0.7401,********,    3,   0.203
TG51      ,S12       ,   0,  0.0001,  0.7401,********,    4,   0.270
TG51      ,S13       ,   0,  0.0001,  0.7401,********,    5,   0.338
TG51      ,S14       ,   0,  0.0001,  0.7401,********,    6,   0.405
TG51      ,S15       ,   0,  0.0001,  0.7401,********,    7,   0.473
TG51      ,S16       ,   0,  0.0001,  0.7401,********,    8,   0.540
TG51      ,S17       ,   0,  0.0001,  0.7401,********,    9,   0.608
TG51      ,S18       ,   0,  0.0001,  0.7401,********,   10,   0.675
TG51      ,S19       ,   0,  0.0001,  0.7401,********,   11,   0.743
TG51      ,S2        ,   0,  0.0001,  0.7401,********,   12,   0.811
TG51      ,S20       ,   0,  0.0001,  0.7401,********,   13,   0.878
TG51      ,S3        ,   0,  0.0001,  0.7401,********,   14,   0.946
TG51      ,S4        ,   0,  0.0001,  0.7401,********,   15,   1.013
TG51      ,S5        ,   0,  0.0001,  0.7401,********,   16,   1.081
TG51      ,S6        ,   0,  0.0001,  0.7401,********,   17,   1.148
TG51      ,S7        ,   0,  0.0001,  0.7401,********,   18,   1.216
TG51      ,S8        ,   0,  0.0001,  0.7401,********,   19,   1.283
TG51      ,S9        ,   0,  0.0001,  0.7401,********,   20,   1.351
TL00      ,S1        ,   0,  0.0084,  0.7401,  1.5981,    1,   0.068
TL00      ,S10       ,   0,  0.0084,  0.7401,  1.5981,    2,   0.135
TL00      ,S11       ,   0,  0.0084,  0.7401,  1.5981,    3,   0.203
TL00      ,S12       ,   0,  0.0084,  0.7401,  1.5981,    4,   0.270
TL00      ,S13       ,   0,  0.0084,  0.7401,  1.5981,    5,   0.338
TL00      ,S14       ,   0,  0.0084,  0.7401,  1.5981,    6,   0.405
TL00      ,S15       ,   0,  0.0084,  0.7401,  1.5981,    7,   0.473
TL00      ,S16       ,   0,  0.0084,  0.7401,  1.5981,    8,   0.540
TL00      ,S17       ,   0,  0.0084,  0.7401,  1.5981,    9,   0.608
TL00      ,S18       ,   0,  0.0084,  0.7401,  1.5981,   10,   0.675
TL00      ,S19       ,   0,  0.0084,  0.7401,  1.5981,   11,   0.743
TL00      ,S2        ,   0,  0.0084,  0.7401,  1.5981,   12,   0.811
TL00      ,S20       ,   0,  0.0084,  0.7401,  1.5981,   13,   0.878
TL00      ,S3        ,   0,  0.0084,  0.7401,  1.5981,   14,   0.946
TL00      ,S4        ,   0,  0.0084,  0.7401,  1.5981,   15,   1.013
TL00      ,S5        ,   0,  0.0084,  0.7401,  1.5981,   16,   1.081
TL00      ,S6        ,   0,  0.0084,  0.7401,  1.5981,   17,   1.148
TL00      ,S7        ,   0,  0.0084,  0.7401,  1.5981,   18,   1.216
TL00      ,S8        ,   0,  0.0084,  0.7401,  1.5981,   19,   1.283
TL00      ,S9        ,   0,  0.0084,  0.7401,  1.5981,   20,   1.351
TL01      ,S1        ,   0,  0.0027,  0.7401, 21.2260,    1,   0.068
TL01      ,S10       ,   0,  0.0027,  0.7401, 21.2260,    2,   0.135
TL01      ,S11       ,   0,  0.0027,  0.7401, 21.2260,    3,   0.203
TL01      ,S12       ,   0,  0.0027,  0.7401, 21.2260,    4,   0.270
TL01      ,S13       ,   0,  0.0027,  0.7401, 21.2260,    5,   0.338
TL01      ,S14       ,   0,  0.0027,  0.7401, 21.2260,    6,   0.405
TL01      ,S15       ,   0,  0.0027,  0.7401, 21.2260,    7,   0.473
TL01      ,S16       ,   0,  0.0027,  0.7401, 21.2260,    8,   0.540
TL01      ,S17       ,   0,  0.0027,  0.7401, 21.2260,    9,   0.608
TL01      ,S18       ,   0,  0.0027,  0.7401, 21.2260,   10,   0.675
TL01      ,S19       ,   0,  0.0027,  0.7401, 21.2260,   11,   0.743
TL01      ,S2        ,   0,  0.0027,  0.7401, 21.2260,   12,   0.811
TL01      ,S20       ,   0,  0.0027,  0.7401, 21.2260,   13,   0.878
TL01      ,S3        ,   0,  0.0027,  0.7401, 21.2260,   14,   0.946
TL01      ,S4        ,   0,  0.0027,  0.7401, 21.2260,   15,   1.013
TL01      ,S5        ,   0,  0.0027,  0.7401, 21.2260,   16,   1.081
TL01      ,S6        ,   0,  0.0027,  0.7401, 21.2260,   17,   1.148
TL01      ,S7        ,   0,  0.0027,  0.7401, 21.2260,   18,   1.216
TL01      ,S8        ,   0,  0.0027,  0.7401, 21.2260,   19,   1.283
TL01      ,S9        ,   0,  0.0027,  0.7401, 21.2260,   20,   1.351
TL02      ,S1        ,   0,  0.0040,  0.7401,  4.8408,    1,   0.068
TL02      ,S10       ,   0,  0.0040,  0.7401,  4.8408,    2,   0.135
TL02      ,S11       ,   0,  0.0040,  0.7401,  4.8408,    3,   0.203
TL02      ,S12       ,   0,  0.0040,  0.7401,  4.8408,    4,   0.270
TL02      ,S13       ,   0,  0.0040,  0.7401,  4.8408,    5,   0.338
TL02      ,S14       ,   0,  0.0040,  0.7401,  4.8408,    6,   0.405
TL02      ,S15       ,   0,  0.0040,  0.7401,  4.8408,    7,   0.473
TL02      ,S16       ,   0,  0.0040,  0.7401,  4.8408,    8,   0.540
TL02      ,S17       ,   0,  0.0040,  0.7401,  4.8408,    9,   0.608
TL02      ,S18       ,   0,  0.0040,  0.7401,  4.8408,   10,   0.675
TL02      ,S19       ,   0,  0.0040,  0.7401,  4.8408,   11,   0.743
TL02      ,S2        ,   0,  0.0040,  0.7401,  4.8408,   12,   0.811
TL02      ,S20       ,   0,  0.0040,  0.7401,  4.8408,   13,   0.878
TL02      ,S3        ,   0,  0.0040,  0.7401,  4.8408,   14,   0.946
TL02      ,S4        ,   0,  0.0040,  0.7401,  4.8408,   15,   1.013
TL02      ,S5        ,   0,  0.0040,  0.7401,  4.8408,   16,   1.081
TL02      ,S6        ,   0,  0.0040,  0.7401,  4.8408,   17,   1.148
TL02      ,S7        ,   0,  0.0040,  0.7401,  4.8408,   18,   1.216
TL02      ,S8        ,   0,  0.0040,  0.7401,  4.8408,   19,   1.283
TL02      ,S9        ,   0,  0.0040,  0.7401,  4.8408,   20,   1.351
TL03      ,S1        ,   0,  0.0001,  0.7401,********,    1,   0.068
TL03      ,S10       ,   0,  0.0001,  0.7401,********,    2,   0.135
TL03      ,S11       ,   0,  0.0001,  0.7401,********,    3,   0.203
TL03      ,S12       ,   0,  0.0001,  0.7401,********,    4,   0.270
TL03      ,S13       ,   0,  0.0001,  0.7401,********,    5,   0.338
TL03      ,S14       ,   0,  0.0001,  0.7401,********,    6,   0.405
TL03      ,S15       ,   0,  0.0001,  0.7401,********,    7,   0.473
TL03      ,S16       ,   0,  0.0001,  0.7401,********,    8,   0.540
TL03      ,S17       ,   0,  0.0001,  0.7401,********,    9,   0.608
TL03      ,S18       ,   0,  0.0001,  0.7401,********,   10,   0.675
TL03      ,S19       ,   0,  0.0001,  0.7401,********,   11,   0.743
TL03      ,S2        ,   0,  0.0001,  0.7401,********,   12,   0.811
TL03      ,S20       ,   0,  0.0001,  0.7401,********,   13,   0.878
TL03      ,S3        ,   0,  0.0001,  0.7401,********,   14,   0.946
TL03      ,S4        ,   0,  0.0001,  0.7401,********,   15,   1.013
TL03      ,S5        ,   0,  0.0001,  0.7401,********,   16,   1.081
TL03      ,S6        ,   0,  0.0001,  0.7401,********,   17,   1.148
TL03      ,S7        ,   0,  0.0001,  0.7401,********,   18,   1.216
TL03      ,S8        ,   0,  0.0001,  0.7401,********,   19,   1.283
TL03      ,S9        ,   0,  0.0001,  0.7401,********,   20,   1.351
TL10      ,S1        ,   0,  0.0339,  0.7399,  0.4068,    1,   0.068
TL10      ,S10       ,   0,  0.0339,  0.7399,  0.4068,    2,   0.135
TL10      ,S11       ,   0,  0.0339,  0.7399,  0.4068,    3,   0.203
TL10      ,S12       ,   0,  0.0339,  0.7399,  0.4068,    4,   0.270
TL10      ,S13       ,   0,  0.0339,  0.7399,  0.4068,    5,   0.338
TL10      ,S14       ,   0,  0.0339,  0.7399,  0.4068,    6,   0.406
TL10      ,S15       ,   0,  0.0339,  0.7399,  0.4068,    7,   0.473
TL10      ,S16       ,   0,  0.0339,  0.7399,  0.4068,    8,   0.541
TL10      ,S17       ,   0,  0.0339,  0.7399,  0.4068,    9,   0.608
TL10      ,S18       ,   0,  0.0339,  0.7399,  0.4068,   10,   0.676
TL10      ,S19       ,   0,  0.0339,  0.7399,  0.4068,   11,   0.743
TL10      ,S2        ,   0,  0.0339,  0.7399,  0.4068,   12,   0.811
TL10      ,S20       ,   0,  0.0339,  0.7399,  0.4068,   13,   0.879
TL10      ,S3        ,   0,  0.0339,  0.7399,  0.4068,   14,   0.946
TL10      ,S4        ,   0,  0.0339,  0.7399,  0.4068,   15,   1.014
TL10      ,S5        ,   0,  0.0339,  0.7399,  0.4068,   16,   1.081
TL10      ,S6        ,   0,  0.0339,  0.7399,  0.4068,   17,   1.149
TL10      ,S7        ,   0,  0.0339,  0.7399,  0.4068,   18,   1.217
TL10      ,S8        ,   0,  0.0339,  0.7399,  0.4068,   19,   1.284
TL10      ,S9        ,   0,  0.0339,  0.7399,  0.4068,   20,   1.352
TL11      ,S1        ,   0,  0.0425,  0.7399,  0.4101,    1,   0.068
TL11      ,S10       ,   0,  0.0425,  0.7399,  0.4101,    2,   0.135
TL11      ,S11       ,   0,  0.0425,  0.7399,  0.4101,    3,   0.203
TL11      ,S12       ,   0,  0.0425,  0.7399,  0.4101,    4,   0.270
TL11      ,S13       ,   0,  0.0425,  0.7399,  0.4101,    5,   0.338
TL11      ,S14       ,   0,  0.0425,  0.7399,  0.4101,    6,   0.406
TL11      ,S15       ,   0,  0.0425,  0.7399,  0.4101,    7,   0.473
