"Location","Species","Pres","Freq","Freq1","SDFrq1","Rank","Rank1"
"SU60","Species 11",0,4e-04,0.7399,NA,14,0.946
"SU60","Species 12",0,4e-04,0.7399,NA,15,1.014
"SU60","Species 13",0,4e-04,0.7399,NA,16,1.081
"SU60","Species 14",0,4e-04,0.7399,NA,17,1.149
"SU60","Species 15",0,4e-04,0.7399,NA,18,1.217
"SU60","Species 16",0,4e-04,0.7399,NA,19,1.284
"SU60","Species 17",0,4e-04,0.7399,NA,20,1.352
"SU90","Species 1",0,4e-04,0.7399,NA,1,0.068
"SU90","Species 18",0,4e-04,0.7399,NA,2,0.135
"SU90","Species 19",0,4e-04,0.7399,NA,3,0.203
"SU90","Species 2",0,4e-04,0.7399,NA,4,0.27
"SU90","Species 20",0,4e-04,0.7399,NA,5,0.338
"SU90","Species 3",0,4e-04,0.7399,NA,6,0.406
"SU90","Species 4",0,4e-04,0.7399,NA,7,0.473
"SU90","Species 5",0,4e-04,0.7399,NA,8,0.541
"SU90","Species 6",0,4e-04,0.7399,NA,9,0.608
"SU90","Species 7",0,4e-04,0.7399,NA,10,0.676
"SU90","Species 8",0,4e-04,0.7399,NA,11,0.743
"SU90","Species 10",0,4e-04,0.7399,NA,12,0.811
"SU90","Species 9",0,4e-04,0.7399,NA,13,0.879
"SU90","Species 11",0,4e-04,0.7399,NA,14,0.946
"SU90","Species 12",0,4e-04,0.7399,NA,15,1.014
"SU90","Species 13",0,4e-04,0.7399,NA,16,1.081
"SU90","Species 14",0,4e-04,0.7399,NA,17,1.149
"SU90","Species 15",0,4e-04,0.7399,NA,18,1.217
"SU90","Species 16",0,4e-04,0.7399,NA,19,1.284
"SU90","Species 17",0,4e-04,0.7399,NA,20,1.352
"SU91","Species 1",0,0.0025,0.7401,13.0085,1,0.068
"SU91","Species 18",0,0.0025,0.7401,13.0085,2,0.135
"SU91","Species 19",0,0.0025,0.7401,13.0085,3,0.203
"SU91","Species 2",0,0.0025,0.7401,13.0085,4,0.27
"SU91","Species 20",0,0.0025,0.7401,13.0085,5,0.338
"SU91","Species 3",0,0.0025,0.7401,13.0085,6,0.405
"SU91","Species 4",0,0.0025,0.7401,13.0085,7,0.473
"SU91","Species 5",0,0.0025,0.7401,13.0085,8,0.54
"SU91","Species 6",0,0.0025,0.7401,13.0085,9,0.608
"SU91","Species 7",0,0.0025,0.7401,13.0085,10,0.675
"SU91","Species 8",0,0.0025,0.7401,13.0085,11,0.743
"SU91","Species 10",0,0.0025,0.7401,13.0085,12,0.811
"SU91","Species 9",0,0.0025,0.7401,13.0085,13,0.878
"SU91","Species 11",0,0.0025,0.7401,13.0085,14,0.946
"SU91","Species 12",0,0.0025,0.7401,13.0085,15,1.013
"SU91","Species 13",0,0.0025,0.7401,13.0085,16,1.081
"SU91","Species 14",0,0.0025,0.7401,13.0085,17,1.148
"SU91","Species 15",0,0.0025,0.7401,13.0085,18,1.216
"SU91","Species 16",0,0.0025,0.7401,13.0085,19,1.283
"SU91","Species 17",0,0.0025,0.7401,13.0085,20,1.351
"SU92","Species 1",0,0.0018,0.7401,26.8794,1,0.068
"SU92","Species 18",0,0.0018,0.7401,26.8794,2,0.135
"SU92","Species 19",0,0.0018,0.7401,26.8794,3,0.203
"SU92","Species 2",0,0.0018,0.7401,26.8794,4,0.27
"SU92","Species 20",0,0.0018,0.7401,26.8794,5,0.338
"SU92","Species 3",0,0.0018,0.7401,26.8794,6,0.405
"SU92","Species 4",0,0.0018,0.7401,26.8794,7,0.473
"SU92","Species 5",0,0.0018,0.7401,26.8794,8,0.54
"SU92","Species 6",0,0.0018,0.7401,26.8794,9,0.608
"SU92","Species 7",0,0.0018,0.7401,26.8794,10,0.675
"SU92","Species 8",0,0.0018,0.7401,26.8794,11,0.743
"SU92","Species 10",0,0.0018,0.7401,26.8794,12,0.811
"SU92","Species 9",0,0.0018,0.7401,26.8794,13,0.878
"SU92","Species 11",0,0.0018,0.7401,26.8794,14,0.946
"SU92","Species 12",0,0.0018,0.7401,26.8794,15,1.013
"SU92","Species 13",0,0.0018,0.7401,26.8794,16,1.081
"SU92","Species 14",0,0.0018,0.7401,26.8794,17,1.148
"SU92","Species 15",0,0.0018,0.7401,26.8794,18,1.216
"SU92","Species 16",0,0.0018,0.7401,26.8794,19,1.283
"SU92","Species 17",0,0.0018,0.7401,26.8794,20,1.351
"SU93","Species 1",0,5e-04,0.7399,NA,1,0.068
"SU93","Species 18",0,5e-04,0.7399,NA,2,0.135
"SU93","Species 19",0,5e-04,0.7399,NA,3,0.203
"SU93","Species 2",0,5e-04,0.7399,NA,4,0.27
"SU93","Species 20",0,5e-04,0.7399,NA,5,0.338
"SU93","Species 3",0,5e-04,0.7399,NA,6,0.406
"SU93","Species 4",0,5e-04,0.7399,NA,7,0.473
"SU93","Species 5",0,5e-04,0.7399,NA,8,0.541
"SU93","Species 6",0,5e-04,0.7399,NA,9,0.608
"SU93","Species 7",0,5e-04,0.7399,NA,10,0.676
"SU93","Species 8",0,5e-04,0.7399,NA,11,0.743
"SU93","Species 10",0,5e-04,0.7399,NA,12,0.811
"SU93","Species 9",0,5e-04,0.7399,NA,13,0.879
"SU93","Species 11",0,5e-04,0.7399,NA,14,0.946
"SU93","Species 12",0,5e-04,0.7399,NA,15,1.014
"SU93","Species 13",0,5e-04,0.7399,NA,16,1.081
"SU93","Species 14",0,5e-04,0.7399,NA,17,1.149
"SU93","Species 15",0,5e-04,0.7399,NA,18,1.217
"SU93","Species 16",0,5e-04,0.7399,NA,19,1.284
"SU93","Species 17",0,5e-04,0.7399,NA,20,1.352
"SU99","Species 1",0,5e-04,0.7399,NA,1,0.068
"SU99","Species 18",0,5e-04,0.7399,NA,2,0.135
"SU99","Species 19",0,5e-04,0.7399,NA,3,0.203
"SU99","Species 2",0,5e-04,0.7399,NA,4,0.27
"SU99","Species 20",0,5e-04,0.7399,NA,5,0.338
"SU99","Species 3",0,5e-04,0.7399,NA,6,0.406
"SU99","Species 4",0,5e-04,0.7399,NA,7,0.473
"SU99","Species 5",0,5e-04,0.7399,NA,8,0.541
"SU99","Species 6",0,5e-04,0.7399,NA,9,0.608
"SU99","Species 7",0,5e-04,0.7399,NA,10,0.676
"SU99","Species 8",0,5e-04,0.7399,NA,11,0.743
"SU99","Species 10",0,5e-04,0.7399,NA,12,0.811
"SU99","Species 9",0,5e-04,0.7399,NA,13,0.879
"SU99","Species 11",0,5e-04,0.7399,NA,14,0.946
"SU99","Species 12",0,5e-04,0.7399,NA,15,1.014
"SU99","Species 13",0,5e-04,0.7399,NA,16,1.081
"SU99","Species 14",0,5e-04,0.7399,NA,17,1.149
"SU99","Species 15",0,5e-04,0.7399,NA,18,1.217
"SU99","Species 16",0,5e-04,0.7399,NA,19,1.284
"SU99","Species 17",0,5e-04,0.7399,NA,20,1.352
"SZ69","Species 1",0,0.0087,0.7401,1.661,1,0.068
"SZ69","Species 18",0,0.0087,0.7401,1.661,2,0.135
"SZ69","Species 19",0,0.0087,0.7401,1.661,3,0.203
"SZ69","Species 2",0,0.0087,0.7401,1.661,4,0.27
"SZ69","Species 20",0,0.0087,0.7401,1.661,5,0.338
"SZ69","Species 3",0,0.0087,0.7401,1.661,6,0.405
"SZ69","Species 4",0,0.0087,0.7401,1.661,7,0.473
"SZ69","Species 5",0,0.0087,0.7401,1.661,8,0.54
"SZ69","Species 6",0,0.0087,0.7401,1.661,9,0.608
"SZ69","Species 7",0,0.0087,0.7401,1.661,10,0.675
"SZ69","Species 8",0,0.0087,0.7401,1.661,11,0.743
"SZ69","Species 10",0,0.0087,0.7401,1.661,12,0.811
"SZ69","Species 9",0,0.0087,0.7401,1.661,13,0.878
"SZ69","Species 11",0,0.0087,0.7401,1.661,14,0.946
"SZ69","Species 12",0,0.0087,0.7401,1.661,15,1.013
"SZ69","Species 13",0,0.0087,0.7401,1.661,16,1.081
"SZ69","Species 14",0,0.0087,0.7401,1.661,17,1.148
"SZ69","Species 15",0,0.0087,0.7401,1.661,18,1.216
"SZ69","Species 16",0,0.0087,0.7401,1.661,19,1.283
"SZ69","Species 17",0,0.0087,0.7401,1.661,20,1.351
"SZ99","Species 1",0,0.1097,0.7399,0.2081,1,0.068
"SZ99","Species 18",0,0.1097,0.7399,0.2081,2,0.135
"SZ99","Species 19",0,0.1097,0.7399,0.2081,3,0.203
"SZ99","Species 2",0,0.1097,0.7399,0.2081,4,0.27
"SZ99","Species 20",0,0.1097,0.7399,0.2081,5,0.338
"SZ99","Species 3",0,0.1097,0.7399,0.2081,6,0.406
"SZ99","Species 4",0,0.1097,0.7399,0.2081,7,0.473
"SZ99","Species 5",0,0.1097,0.7399,0.2081,8,0.541
"SZ99","Species 6",0,0.1097,0.7399,0.2081,9,0.608
"SZ99","Species 7",0,0.1097,0.7399,0.2081,10,0.676
"SZ99","Species 8",0,0.1097,0.7399,0.2081,11,0.743
"SZ99","Species 10",0,0.1097,0.7399,0.2081,12,0.811
"SZ99","Species 9",0,0.1097,0.7399,0.2081,13,0.879
"SZ99","Species 11",0,0.1097,0.7399,0.2081,14,0.946
"SZ99","Species 12",0,0.1097,0.7399,0.2081,15,1.014
"SZ99","Species 13",0,0.1097,0.7399,0.2081,16,1.081
"SZ99","Species 14",0,0.1097,0.7399,0.2081,17,1.149
"SZ99","Species 15",0,0.1097,0.7399,0.2081,18,1.217
"SZ99","Species 16",0,0.1097,0.7399,0.2081,19,1.284
"SZ99","Species 17",0,0.1097,0.7399,0.2081,20,1.352
"TG40","Species 1",0,1e-04,0.7399,NA,1,0.068
"TG40","Species 18",0,1e-04,0.7399,NA,2,0.135
"TG40","Species 19",0,1e-04,0.7399,NA,3,0.203
"TG40","Species 2",0,1e-04,0.7399,NA,4,0.27
"TG40","Species 20",0,1e-04,0.7399,NA,5,0.338
"TG40","Species 3",0,1e-04,0.7399,NA,6,0.405
"TG40","Species 4",0,1e-04,0.7399,NA,7,0.473
"TG40","Species 5",0,1e-04,0.7399,NA,8,0.541
"TG40","Species 6",0,1e-04,0.7399,NA,9,0.608
"TG40","Species 7",0,1e-04,0.7399,NA,10,0.676
"TG40","Species 8",0,1e-04,0.7399,NA,11,0.743
"TG40","Species 10",0,1e-04,0.7399,NA,12,0.811
"TG40","Species 9",0,1e-04,0.7399,NA,13,0.879
"TG40","Species 11",0,1e-04,0.7399,NA,14,0.946
"TG40","Species 12",0,1e-04,0.7399,NA,15,1.014
"TG40","Species 13",0,1e-04,0.7399,NA,16,1.081
"TG40","Species 14",0,1e-04,0.7399,NA,17,1.149
"TG40","Species 15",0,1e-04,0.7399,NA,18,1.216
"TG40","Species 16",0,1e-04,0.7399,NA,19,1.284
"TG40","Species 17",0,1e-04,0.7399,NA,20,1.352
"TG50","Species 1",0,3e-04,0.7399,NA,1,0.068
"TG50","Species 18",0,3e-04,0.7399,NA,2,0.135
"TG50","Species 19",0,3e-04,0.7399,NA,3,0.203
"TG50","Species 2",0,3e-04,0.7399,NA,4,0.27
"TG50","Species 20",0,3e-04,0.7399,NA,5,0.338
"TG50","Species 3",0,3e-04,0.7399,NA,6,0.405
"TG50","Species 4",0,3e-04,0.7399,NA,7,0.473
"TG50","Species 5",0,3e-04,0.7399,NA,8,0.541
"TG50","Species 6",0,3e-04,0.7399,NA,9,0.608
"TG50","Species 7",0,3e-04,0.7399,NA,10,0.676
"TG50","Species 8",0,3e-04,0.7399,NA,11,0.743
"TG50","Species 10",0,3e-04,0.7399,NA,12,0.811
"TG50","Species 9",0,3e-04,0.7399,NA,13,0.879
"TG50","Species 11",0,3e-04,0.7399,NA,14,0.946
"TG50","Species 12",0,3e-04,0.7399,NA,15,1.014
"TG50","Species 13",0,3e-04,0.7399,NA,16,1.081
"TG50","Species 14",0,3e-04,0.7399,NA,17,1.149
"TG50","Species 15",0,3e-04,0.7399,NA,18,1.216
"TG50","Species 16",0,3e-04,0.7399,NA,19,1.284
"TG50","Species 17",0,3e-04,0.7399,NA,20,1.352
"TG51","Species 1",0,1e-04,0.7401,NA,1,0.068
"TG51","Species 18",0,1e-04,0.7401,NA,2,0.135
"TG51","Species 19",0,1e-04,0.7401,NA,3,0.203
"TG51","Species 2",0,1e-04,0.7401,NA,4,0.27
"TG51","Species 20",0,1e-04,0.7401,NA,5,0.338
"TG51","Species 3",0,1e-04,0.7401,NA,6,0.405
"TG51","Species 4",0,1e-04,0.7401,NA,7,0.473
"TG51","Species 5",0,1e-04,0.7401,NA,8,0.54
"TG51","Species 6",0,1e-04,0.7401,NA,9,0.608
"TG51","Species 7",0,1e-04,0.7401,NA,10,0.675
"TG51","Species 8",0,1e-04,0.7401,NA,11,0.743
"TG51","Species 10",0,1e-04,0.7401,NA,12,0.811
"TG51","Species 9",0,1e-04,0.7401,NA,13,0.878
"TG51","Species 11",0,1e-04,0.7401,NA,14,0.946
"TG51","Species 12",0,1e-04,0.7401,NA,15,1.013
"TG51","Species 13",0,1e-04,0.7401,NA,16,1.081
"TG51","Species 14",0,1e-04,0.7401,NA,17,1.148
"TG51","Species 15",0,1e-04,0.7401,NA,18,1.216
"TG51","Species 16",0,1e-04,0.7401,NA,19,1.283
"TG51","Species 17",0,1e-04,0.7401,NA,20,1.351
"TL00","Species 1",0,0.0084,0.7401,1.5981,1,0.068
"TL00","Species 18",0,0.0084,0.7401,1.5981,2,0.135
"TL00","Species 19",0,0.0084,0.7401,1.5981,3,0.203
"TL00","Species 2",0,0.0084,0.7401,1.5981,4,0.27
"TL00","Species 20",0,0.0084,0.7401,1.5981,5,0.338
"TL00","Species 3",0,0.0084,0.7401,1.5981,6,0.405
"TL00","Species 4",0,0.0084,0.7401,1.5981,7,0.473
"TL00","Species 5",0,0.0084,0.7401,1.5981,8,0.54
"TL00","Species 6",0,0.0084,0.7401,1.5981,9,0.608
"TL00","Species 7",0,0.0084,0.7401,1.5981,10,0.675
"TL00","Species 8",0,0.0084,0.7401,1.5981,11,0.743
"TL00","Species 10",0,0.0084,0.7401,1.5981,12,0.811
"TL00","Species 9",0,0.0084,0.7401,1.5981,13,0.878
"TL00","Species 11",0,0.0084,0.7401,1.5981,14,0.946
"TL00","Species 12",0,0.0084,0.7401,1.5981,15,1.013
"TL00","Species 13",0,0.0084,0.7401,1.5981,16,1.081
"TL00","Species 14",0,0.0084,0.7401,1.5981,17,1.148
"TL00","Species 15",0,0.0084,0.7401,1.5981,18,1.216
"TL00","Species 16",0,0.0084,0.7401,1.5981,19,1.283
"TL00","Species 17",0,0.0084,0.7401,1.5981,20,1.351
"TL01","Species 1",0,0.0027,0.7401,21.226,1,0.068
"TL01","Species 18",0,0.0027,0.7401,21.226,2,0.135
"TL01","Species 19",0,0.0027,0.7401,21.226,3,0.203
"TL01","Species 2",0,0.0027,0.7401,21.226,4,0.27
"TL01","Species 20",0,0.0027,0.7401,21.226,5,0.338
"TL01","Species 3",0,0.0027,0.7401,21.226,6,0.405
"TL01","Species 4",0,0.0027,0.7401,21.226,7,0.473
"TL01","Species 5",0,0.0027,0.7401,21.226,8,0.54
"TL01","Species 6",0,0.0027,0.7401,21.226,9,0.608
"TL01","Species 7",0,0.0027,0.7401,21.226,10,0.675
"TL01","Species 8",0,0.0027,0.7401,21.226,11,0.743
"TL01","Species 10",0,0.0027,0.7401,21.226,12,0.811
"TL01","Species 9",0,0.0027,0.7401,21.226,13,0.878
"TL01","Species 11",0,0.0027,0.7401,21.226,14,0.946
"TL01","Species 12",0,0.0027,0.7401,21.226,15,1.013
"TL01","Species 13",0,0.0027,0.7401,21.226,16,1.081
"TL01","Species 14",0,0.0027,0.7401,21.226,17,1.148
"TL01","Species 15",0,0.0027,0.7401,21.226,18,1.216
"TL01","Species 16",0,0.0027,0.7401,21.226,19,1.283
"TL01","Species 17",0,0.0027,0.7401,21.226,20,1.351
"TL02","Species 1",0,0.004,0.7401,4.8408,1,0.068
"TL02","Species 18",0,0.004,0.7401,4.8408,2,0.135
"TL02","Species 19",0,0.004,0.7401,4.8408,3,0.203
"TL02","Species 2",0,0.004,0.7401,4.8408,4,0.27
"TL02","Species 20",0,0.004,0.7401,4.8408,5,0.338
"TL02","Species 3",0,0.004,0.7401,4.8408,6,0.405
"TL02","Species 4",0,0.004,0.7401,4.8408,7,0.473
"TL02","Species 5",0,0.004,0.7401,4.8408,8,0.54
"TL02","Species 6",0,0.004,0.7401,4.8408,9,0.608
"TL02","Species 7",0,0.004,0.7401,4.8408,10,0.675
"TL02","Species 8",0,0.004,0.7401,4.8408,11,0.743
"TL02","Species 10",0,0.004,0.7401,4.8408,12,0.811
"TL02","Species 9",0,0.004,0.7401,4.8408,13,0.878
"TL02","Species 11",0,0.004,0.7401,4.8408,14,0.946
"TL02","Species 12",0,0.004,0.7401,4.8408,15,1.013
"TL02","Species 13",0,0.004,0.7401,4.8408,16,1.081
"TL02","Species 14",0,0.004,0.7401,4.8408,17,1.148
"TL02","Species 15",0,0.004,0.7401,4.8408,18,1.216
"TL02","Species 16",0,0.004,0.7401,4.8408,19,1.283
"TL02","Species 17",0,0.004,0.7401,4.8408,20,1.351
"TL03","Species 1",0,1e-04,0.7401,NA,1,0.068
"TL03","Species 18",0,1e-04,0.7401,NA,2,0.135
"TL03","Species 19",0,1e-04,0.7401,NA,3,0.203
"TL03","Species 2",0,1e-04,0.7401,NA,4,0.27
"TL03","Species 20",0,1e-04,0.7401,NA,5,0.338
"TL03","Species 3",0,1e-04,0.7401,NA,6,0.405
"TL03","Species 4",0,1e-04,0.7401,NA,7,0.473
"TL03","Species 5",0,1e-04,0.7401,NA,8,0.54
"TL03","Species 6",0,1e-04,0.7401,NA,9,0.608
"TL03","Species 7",0,1e-04,0.7401,NA,10,0.675
"TL03","Species 8",0,1e-04,0.7401,NA,11,0.743
"TL03","Species 10",0,1e-04,0.7401,NA,12,0.811
"TL03","Species 9",0,1e-04,0.7401,NA,13,0.878
"TL03","Species 11",0,1e-04,0.7401,NA,14,0.946
"TL03","Species 12",0,1e-04,0.7401,NA,15,1.013
"TL03","Species 13",0,1e-04,0.7401,NA,16,1.081
"TL03","Species 14",0,1e-04,0.7401,NA,17,1.148
"TL03","Species 15",0,1e-04,0.7401,NA,18,1.216
"TL03","Species 16",0,1e-04,0.7401,NA,19,1.283
"TL03","Species 17",0,1e-04,0.7401,NA,20,1.351
"TL10","Species 1",0,0.0339,0.7399,0.4068,1,0.068
"TL10","Species 18",0,0.0339,0.7399,0.4068,2,0.135
"TL10","Species 19",0,0.0339,0.7399,0.4068,3,0.203
"TL10","Species 2",0,0.0339,0.7399,0.4068,4,0.27
"TL10","Species 20",0,0.0339,0.7399,0.4068,5,0.338
"TL10","Species 3",0,0.0339,0.7399,0.4068,6,0.406
"TL10","Species 4",0,0.0339,0.7399,0.4068,7,0.473
"TL10","Species 5",0,0.0339,0.7399,0.4068,8,0.541
"TL10","Species 6",0,0.0339,0.7399,0.4068,9,0.608
"TL10","Species 7",0,0.0339,0.7399,0.4068,10,0.676
"TL10","Species 8",0,0.0339,0.7399,0.4068,11,0.743
"TL10","Species 10",0,0.0339,0.7399,0.4068,12,0.811
"TL10","Species 9",0,0.0339,0.7399,0.4068,13,0.879
"TL10","Species 11",0,0.0339,0.7399,0.4068,14,0.946
"TL10","Species 12",0,0.0339,0.7399,0.4068,15,1.014
"TL10","Species 13",0,0.0339,0.7399,0.4068,16,1.081
"TL10","Species 14",0,0.0339,0.7399,0.4068,17,1.149
"TL10","Species 15",0,0.0339,0.7399,0.4068,18,1.217
"TL10","Species 16",0,0.0339,0.7399,0.4068,19,1.284
"TL10","Species 17",0,0.0339,0.7399,0.4068,20,1.352
"TL11","Species 1",0,0.0425,0.7399,0.4101,1,0.068
"TL11","Species 18",0,0.0425,0.7399,0.4101,2,0.135
"TL11","Species 19",0,0.0425,0.7399,0.4101,3,0.203
"TL11","Species 2",0,0.0425,0.7399,0.4101,4,0.27
"TL11","Species 20",0,0.0425,0.7399,0.4101,5,0.338
"TL11","Species 3",0,0.0425,0.7399,0.4101,6,0.406
"TL11","Species 4",0,0.0425,0.7399,0.4101,7,0.473
"TL11","Species 5",0,0.0425,0.7399,0.4101,8,0.541
"TL11","Species 6",0,0.0425,0.7399,0.4101,9,0.608
"TL11","Species 7",0,0.0425,0.7399,0.4101,10,0.676
"TL11","Species 8",0,0.0425,0.7399,0.4101,11,0.743
"TL11","Species 10",0,0.0425,0.7399,0.4101,12,0.811
"TL11","Species 9",0,0.0425,0.7399,0.4101,13,0.879
"TL11","Species 11",0,0.0425,0.7399,0.4101,14,0.946
"TL11","Species 12",0,0.0425,0.7399,0.4101,15,1.014
"TL11","Species 13",0,0.0425,0.7399,0.4101,16,1.081
"TL11","Species 14",0,0.0425,0.7399,0.4101,17,1.149
"TL11","Species 15",0,0.0425,0.7399,0.4101,18,1.217
"TL11","Species 16",0,0.0425,0.7399,0.4101,19,1.284
"TL11","Species 17",0,0.0425,0.7399,0.4101,20,1.352
"TL12","Species 1",0,0.0137,0.7399,1.0609,1,0.068
"TL12","Species 18",0,0.0137,0.7399,1.0609,2,0.135
"TL12","Species 19",0,0.0137,0.7399,1.0609,3,0.203
"TL12","Species 2",0,0.0137,0.7399,1.0609,4,0.27
"TL12","Species 20",0,0.0137,0.7399,1.0609,5,0.338
"TL12","Species 3",0,0.0137,0.7399,1.0609,6,0.405
"TL12","Species 4",0,0.0137,0.7399,1.0609,7,0.473
"TL12","Species 5",0,0.0137,0.7399,1.0609,8,0.541
"TL12","Species 6",0,0.0137,0.7399,1.0609,9,0.608
"TL12","Species 7",0,0.0137,0.7399,1.0609,10,0.676
"TL12","Species 8",0,0.0137,0.7399,1.0609,11,0.743
"TL12","Species 10",0,0.0137,0.7399,1.0609,12,0.811
"TL12","Species 9",0,0.0137,0.7399,1.0609,13,0.879
"TL12","Species 11",0,0.0137,0.7399,1.0609,14,0.946
"TL12","Species 12",0,0.0137,0.7399,1.0609,15,1.014
"TL12","Species 13",0,0.0137,0.7399,1.0609,16,1.081
"TL12","Species 14",0,0.0137,0.7399,1.0609,17,1.149
"TL12","Species 15",0,0.0137,0.7399,1.0609,18,1.216
"TL12","Species 16",0,0.0137,0.7399,1.0609,19,1.284
"TL12","Species 17",0,0.0137,0.7399,1.0609,20,1.352
"TL20","Species 1",0,0.0401,0.7399,0.3919,1,0.068
"TL20","Species 18",0,0.0401,0.7399,0.3919,2,0.135
"TL20","Species 19",0,0.0401,0.7399,0.3919,3,0.203
"TL20","Species 2",0,0.0401,0.7399,0.3919,4,0.27
"TL20","Species 20",0,0.0401,0.7399,0.3919,5,0.338
"TL20","Species 3",0,0.0401,0.7399,0.3919,6,0.406
"TL20","Species 4",0,0.0401,0.7399,0.3919,7,0.473
"TL20","Species 5",0,0.0401,0.7399,0.3919,8,0.541
"TL20","Species 6",0,0.0401,0.7399,0.3919,9,0.608
"TL20","Species 7",0,0.0401,0.7399,0.3919,10,0.676
"TL20","Species 8",0,0.0401,0.7399,0.3919,11,0.743
"TL20","Species 10",0,0.0401,0.7399,0.3919,12,0.811
"TL20","Species 9",0,0.0401,0.7399,0.3919,13,0.879
"TL20","Species 11",0,0.0401,0.7399,0.3919,14,0.946
"TL20","Species 12",0,0.0401,0.7399,0.3919,15,1.014
"TL20","Species 13",0,0.0401,0.7399,0.3919,16,1.081
"TL20","Species 14",0,0.0401,0.7399,0.3919,17,1.149
"TL20","Species 15",0,0.0401,0.7399,0.3919,18,1.217
"TL20","Species 16",0,0.0401,0.7399,0.3919,19,1.284
"TL20","Species 17",0,0.0401,0.7399,0.3919,20,1.352
"TL21","Species 1",0,0.0871,0.7399,0.2309,1,0.068
"TL21","Species 18",0,0.0871,0.7399,0.2309,2,0.135
"TL21","Species 19",0,0.0871,0.7399,0.2309,3,0.203
"TL21","Species 2",0,0.0871,0.7399,0.2309,4,0.27
"TL21","Species 20",0,0.0871,0.7399,0.2309,5,0.338
"TL21","Species 3",0,0.0871,0.7399,0.2309,6,0.405
"TL21","Species 4",0,0.0871,0.7399,0.2309,7,0.473
"TL21","Species 5",0,0.0871,0.7399,0.2309,8,0.541
"TL21","Species 6",0,0.0871,0.7399,0.2309,9,0.608
"TL21","Species 7",0,0.0871,0.7399,0.2309,10,0.676
"TL21","Species 8",0,0.0871,0.7399,0.2309,11,0.743
"TL21","Species 10",0,0.0871,0.7399,0.2309,12,0.811
"TL21","Species 9",0,0.0871,0.7399,0.2309,13,0.879
"TL21","Species 11",0,0.0871,0.7399,0.2309,14,0.946
